"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","38.2","","","","1"
"1981-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","38.7","","","","1"
"1981-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","39.3","","","","1"
"1981-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","39.9","","","","1"
"1981-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","40.6","","","","1"
"1981-01","Toronto, Ontario","2011S0503535","Total (house and land)","Index, 201612=100","347","units","0","v111955499","20.1","28.0","","","","1"
"1981-02","Toronto, Ontario","2011S0503535","Total (house and land)","Index, 201612=100","347","units","0","v111955499","20.1","28.5","","","","1"
"1981-03","Toronto, Ontario","2011S0503535","Total (house and land)","Index, 201612=100","347","units","0","v111955499","20.1","29.8","","","","1"
"1981-04","Toronto, Ontario","2011S0503535","Total (house and land)","Index, 201612=100","347","units","0","v111955499","20.1","31.2","","","","1"
"1981-05","Toronto, Ontario","2011S0503535","Total (house and land)","Index, 201612=100","347","units","0","v111955499","20.1","32.3","","","","1"
"1981-01","St. John's, Newfoundland and Labrador","2011S05031","Total (house and land)","Index, 201612=100","347","units","0","v111955451","4.1","36.1","","","","1"
"1981-02","St. John's, Newfoundland and Labrador","2011S05031","Total (house and land)","Index, 201612=100","347","units","0","v111955451","4.1","36.2","","","","1"
"1981-03","St. John's, Newfoundland and Labrador","2011S05031","Total (house and land)","Index, 201612=100","347","units","0","v111955451","4.1","36.2","","","","1"
"1981-04","St. John's, Newfoundland and Labrador","2011S05031","Total (house and land)","Index, 201612=100","347","units","0","v111955451","4.1","36.2","","","","1"
"1981-05","St. John's, Newfoundland and Labrador","2011S05031","Total (house and land)","Index, 201612=100","347","units","0","v111955451","4.1","36.4","","","","1"
